"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2335","testwith Nadhiya","mobileview","2026-07-29","passed","2026-07-29","","CPPRICING.spec.js","",""
"","2896","testwith Nadhiya","chromium","2026-07-29","passed","2026-07-29","","CPPRICING.spec.js","",""
"","2375","testwith lakshmipriya","mobileview","2026-07-29","passed","2026-07-29","","CPPRICING.spec.js","",""
"","2897","testwith lakshmipriya","chromium","2026-07-29","passed","2026-07-29","","CPPRICING.spec.js","",""
"","5026","testwith lakshmipriya","firefox","2026-07-29","passed","2026-07-29","","CPPRICING.spec.js","",""
"","3453","testwith lakshmipriya","webkit","2026-07-29","passed","2026-07-29","","CPPRICING.spec.js","",""
"","2836","testwith Nadhiya","webkit","2026-07-29","passed","2026-07-29","","CPPRICING.spec.js","",""
"","4739","testwith Nadhiya","firefox","2026-07-29","passed","2026-07-29","","CPPRICING.spec.js","",""
